"","CreationDate","Tags","Tags_number"
"1","2021-02","minecraft-java-edition",177
"2","2021-02","minecraft-commands",84
"3","2021-02","minecraft-bedrock-edition",72
"4","2021-01","minecraft-java-edition",142
"5","2021-01","minecraft-bedrock-edition",88
"6","2021-01","minecraft-commands",74
"7","2020-12","minecraft-java-edition",133
"8","2020-12","minecraft-commands",71
"9","2020-12","minecraft-bedrock-edition",49
"10","2020-11","minecraft-java-edition",109
"11","2020-11","minecraft-commands",70
"12","2020-11","minecraft-bedrock-edition",30
"13","2020-10","minecraft-java-edition",86
"14","2020-10","minecraft-commands",56
"15","2020-10","minecraft-bedrock-edition",38
"16","2020-09","minecraft-java-edition",85
"17","2020-09","minecraft-commands",40
"18","2020-09","minecraft-bedrock-edition",26
"19","2020-08","minecraft-java-edition",66
"20","2020-08","minecraft-bedrock-edition",57
"21","2020-08","minecraft-commands",52
"22","2020-07","minecraft-java-edition",118
"23","2020-07","minecraft-commands",82
"24","2020-07","minecraft-bedrock-edition",48
"25","2020-06","minecraft-java-edition",117
"26","2020-06","minecraft-commands",75
"27","2020-06","minecraft-bedrock-edition",51
"28","2020-05","minecraft-java-edition",134
"29","2020-05","minecraft-commands",73
"30","2020-05","minecraft-bedrock-edition",39
"31","2020-04","minecraft-java-edition",169
"32","2020-04","minecraft-commands",87
"33","2020-04","minecraft-bedrock-edition",63
"34","2020-03","minecraft-java-edition",124
"35","2020-03","minecraft-commands",77
"36","2020-03","animal-crossing-new-horizons",60
"37","2020-02","minecraft-java-edition",73
"38","2020-02","minecraft-commands",45
"39","2020-02","minecraft-bedrock-edition",40
"40","2020-01","minecraft-java-edition",73
"41","2020-01","minecraft-commands",44
"42","2020-01","minecraft-bedrock-edition",23
"43","2019-12","minecraft-java-edition",67
"44","2019-12","minecraft-commands",24
"45","2019-12","minecraft-bedrock-edition",20
"46","2019-11","minecraft-java-edition",62
"47","2019-11","minecraft-commands",40
"48","2019-11","pokemon-sword-shield",37
"49","2019-10","minecraft-java-edition",75
"50","2019-10","minecraft-commands",34
"51","2019-10","minecraft-bedrock-edition",23
"52","2019-09","minecraft-java-edition",105
"53","2019-09","minecraft-commands",60
"54","2019-09","minecraft-bedrock-edition",24
"55","2019-08","minecraft-java-edition",139
"56","2019-08","minecraft-commands",69
"57","2019-08","minecraft-bedrock-edition",26
"58","2019-07","minecraft-java-edition",169
"59","2019-07","minecraft-commands",90
"60","2019-07","minecraft-bedrock-edition",51
"61","2019-06","minecraft-java-edition",140
"62","2019-06","minecraft-commands",92
"63","2019-06","minecraft-bedrock-edition",26
"64","2019-05","minecraft-java-edition",101
"65","2019-05","minecraft-commands",61
"66","2019-05","minecraft-bedrock-edition",17
"67","2019-04","minecraft-java-edition",115
"68","2019-04","minecraft-commands",60
"69","2019-04","minecraft-bedrock-edition",16
"70","2019-03","minecraft-java-edition",59
"71","2019-03","minecraft-commands",34
"72","2019-03","minecraft-bedrock-edition",19
"73","2019-02","minecraft-java-edition",69
"74","2019-02","minecraft-commands",39
"75","2019-02","apex-legends",23
"76","2019-01","minecraft-java-edition",76
"77","2019-01","minecraft-commands",37
"78","2019-01","minecraft-bedrock-edition",23
"79","2018-12","minecraft-java-edition",65
"80","2018-12","minecraft-commands",33
"81","2018-12","super-smash-bros-ultimate",28
"82","2018-11","minecraft-java-edition",43
"83","2018-11","red-dead-redemption-2",34
"84","2018-11","minecraft-commands",25
"85","2018-10","minecraft-java-edition",47
"86","2018-10","minecraft-commands",25
"87","2018-10","red-dead-redemption-2",18
"88","2018-09","minecraft-java-edition",35
"89","2018-09","minecraft-commands",21
"90","2018-09","steam",12
"91","2018-08","minecraft-java-edition",44
"92","2018-08","minecraft-commands",22
"93","2018-08","no-mans-sky",19
"94","2018-07","minecraft-java-edition",72
"95","2018-07","minecraft-commands",45
"96","2018-07","fortnite-battle-royale",15
"97","2018-06","minecraft-java-edition",58
"98","2018-06","minecraft-commands",33
"99","2018-06","pokemon-go",15
"100","2018-05","minecraft-java-edition",43
"101","2018-05","minecraft-commands",21
"102","2018-05","fortnite-battle-royale",13
"103","2018-04","minecraft-java-edition",60
"104","2018-04","minecraft-commands",30
"105","2018-04","danmachi-memoria-freese",21
"106","2018-03","minecraft-java-edition",65
"107","2018-03","minecraft-commands",32
"108","2018-03","the-elder-scrolls-v-skyrim",16
"109","2018-02","minecraft-java-edition",43
"110","2018-02","minecraft-commands",27
"111","2018-02","monster-hunter-world",20
"112","2018-01","minecraft-java-edition",79
"113","2018-01","minecraft-commands",48
"114","2018-01","steam",22
"115","2017-12","minecraft-java-edition",59
"116","2017-12","minecraft-commands",34
"117","2017-12","xenoblade-chronicles-2",33
"118","2017-11","minecraft-java-edition",51
"119","2017-11","minecraft-commands",36
"120","2017-11","super-mario-odyssey",21
