"","DisplayName","Location","Difference","Number_of_Tags"
"1","Ash","",1231,238
"2","sayu","",1716,157
"3","Fredy31","Montreal, Canada",1643,155
"4","GnomeSlice","",4057,144
"5","Stevoisiak","Nassau County, NY, USA",1853,128
"6","Invader Skoodge","New Jersey",1076,124
"7","Wipqozn","Nova Scotia, Canada",2730,124
"8","David Yell","England, United Kingdom",1253,118
"9","Raven Dreamer","Raleigh, NC",3715,116
"10","Wolf","",1157,116
"11","l I","United States",5719,111
"12","BlueRaja - Danny Pflughoeft","not Madison, WI",3848,110
"13","galacticninja","Nirn",4497,103
"14","Batophobia","Missouri",5167,102
"15","Drake","Patong, Distretto di Kathu, Provincia di Phuket, Thailandia",2588,98
